gene_name	strand	chrom	start	end
OR4F5	+	chr1	65419	71585
AL627309.1	-	chr1	134901	139379
OR4F29	+	chr1	367640	368634
OR4F16	-	chr1	621096	622034
SAMD11	+	chr1	859303	879955
NOC2L	-	chr1	879583	894689
KLHL17	+	chr1	895964	901099
PLEKHN1	+	chr1	901862	911245
PERM1	-	chr1	910578	917497
HES4	-	chr1	934342	935552
ISG15	+	chr1	936518	949920
AGRN	+	chr1	955500	991498
RNF223	-	chr1	1006347	1009686
C1orf159	-	chr1	1017198	1051741
TTLL10	+	chr1	1109260	1133316
TNFRSF18	-	chr1	1138888	1141972
TNFRSF4	-	chr1	1146706	1149533
SDF4	-	chr1	1152311	1167411
B3GALT6	+	chr1	1167617	1170421
C1QTNF12	-	chr1	1177826	1182102
UBE2J2	-	chr1	1189289	1209244
SCNN1D	+	chr1	1215816	1227409
ACAP3	-	chr1	1227770	1244989
PUSL1	+	chr1	1243977	1247057
INTS11	-	chr1	1246965	1260067
CPTP	+	chr1	1260136	1264276
TAS1R3	+	chr1	1266660	1270694
DVL1	-	chr1	1270656	1284798
MXRA8	-	chr1	1288069	1297157
AURKAIP1	-	chr1	1309110	1310587
CCNL2	-	chr1	1321091	1334715
MRPL20	-	chr1	1337289	1342673
ANKRD65	-	chr1	1353800	1357149
TMEM88B	+	chr1	1361251	1365635
VWA1	+	chr1	1370241	1378262
ATAD3C	+	chr1	1385069	1405543
ATAD3B	+	chr1	1407145	1433228
ATAD3A	+	chr1	1447542	1470065
TMEM240	-	chr1	1470158	1476004
SSU72	-	chr1	1477053	1510243
FNDC10	-	chr1	1533392	1535515
MIB2	+	chr1	1550834	1565985
MMP23B	+	chr1	1567542	1570639
CDK11B	-	chr1	1570601	1590473
SLC35E2B	-	chr1	1590990	1624234
CDK11A	-	chr1	1633818	1655796
NADK	-	chr1	1682671	1711896
GNB1	-	chr1	1716724	1823731
CALML6	+	chr1	1846547	1848735
TMEM52	-	chr1	1849029	1850718
CFAP74	-	chr1	1853390	1935276
GABRD	+	chr1	1950768	1962197
PRKCZ	+	chr1	1981850	2116834
FAAP20	-	chr1	2115900	2144159
SKI	+	chr1	2158827	2241652
MORN1	-	chr1	2252692	2323146
RER1	+	chr1	2323214	2336881
PEX10	-	chr1	2335403	2345236
PLCH2	+	chr1	2357419	2436971
PANK4	-	chr1	2439976	2458036
HES5	-	chr1	2460184	2461702
TNFRSF14	+	chr1	2487078	2496821
PRXL2B	+	chr1	2517930	2522908
MMEL1	-	chr1	2522078	2564455
TTC34	-	chr1	2568425	2718258
ACTRT2	+	chr1	2938031	2939467
PRDM16	+	chr1	2985732	3355185
ARHGEF16	+	chr1	3371229	3397677
MEGF6	-	chr1	3404515	3528072
TPRG1L	+	chr1	3541579	3546691
WRAP73	-	chr1	3547331	3569325
TP73	+	chr1	3569080	3652765
CCDC27	+	chr1	3663024	3688209
SMIM1	+	chr1	3689313	3692546
LRRC47	-	chr1	3695123	3713062
CEP104	-	chr1	3728650	3773960
DFFB	+	chr1	3773831	3801993
C1orf174	-	chr1	3805689	3816857
AJAP1	+	chr1	4714669	4852594
NPHP4	-	chr1	5922871	6052533
KCNAB2	+	chr1	6050987	6161253
CHD5	-	chr1	6161847	6240381
ENSG00000285629	-	chr1	6219490	6257817
RPL22	-	chr1	6245080	6269449
RNF207	+	chr1	6265535	6281359
ICMT	-	chr1	6281253	6296032
HES3	+	chr1	6304239	6305638
GPR153	-	chr1	6307413	6321158
ACOT7	-	chr1	6324329	6453827
HES2	-	chr1	6472478	6484730
ESPN	+	chr1	6484836	6521427
TNFRSF25	-	chr1	6520846	6526235
PLEKHG5	-	chr1	6527182	6580134
NOL9	-	chr1	6581407	6614573
TAS1R1	+	chr1	6615367	6639815
ZBTB48	+	chr1	6640054	6649340
KLHL21	-	chr1	6650784	6674667
PHF13	+	chr1	6673791	6684090
THAP3	+	chr1	6684928	6695646
DNAJC11	-	chr1	6694228	6761984
CAMTA1	+	chr1	6845514	7829766
VAMP3	+	chr1	7831356	7841492
PER3	+	chr1	7844351	7905237
UTS2	-	chr1	7903143	7913572
TNFRSF9	-	chr1	7975931	8003225
PARK7	+	chr1	8014351	8045565
ERRFI1	-	chr1	8064464	8086369
SLC45A1	+	chr1	8378174	8404227
RERE	-	chr1	8412457	8908980
ENO1	-	chr1	8921059	8939249
CA6	+	chr1	9005926	9035151
SLC2A7	-	chr1	9063032	9086482
SLC2A5	-	chr1	9095165	9148537
GPR157	-	chr1	9160364	9189161
H6PD	+	chr1	9294833	9331396
SPSB1	+	chr1	9352953	9429591
SLC25A33	+	chr1	9599524	9645231
TMEM201	+	chr1	9648969	9674935
PIK3CD	+	chr1	9689947	9789172
CLSTN1	-	chr1	9788984	9884042
CTNNBIP1	-	chr1	9908334	9970394
LZIC	-	chr1	9982171	10003465
NMNAT1	+	chr1	10003486	10045559
RBP7	+	chr1	10057264	10076079
UBE4B	+	chr1	10092890	10241297
