chrom	start	end	strand	gene
chr1	65565	70005	+	OR4F5
chr1	450743	451678	-	OR4F29
chr1	685719	686654	-	OR4F16
chr1	924432	944150	+	SAMD11
chr1	944697	959240	-	NOC2L
chr1	960694	965188	+	KLHL17
chr1	966532	974572	+	PLEKHN1
chr1	976175	981166	-	PERM1
chr1	999062	999973	-	HES4
chr1	1013574	1014475	+	ISG15
chr1	1020173	1054978	+	AGRN
chr1	1071820	1072566	-	RNF223
chr1	1082896	1091543	-	C1orf159
chr1	1179216	1197844	+	TTLL10
chr1	1203594	1206571	-	TNFRSF18
chr1	1211558	1214127	-	TNFRSF4
chr1	1217515	1228793	-	SDF4
chr1	1232279	1233265	+	B3GALT6
chr1	1242551	1246690	-	C1QTNF12
chr1	1255206	1267992	-	UBE2J2
chr1	1280662	1291607	+	SCNN1D
chr1	1293567	1307815	-	ACAP3
chr1	1308644	1311376	+	PUSL1
chr1	1311862	1324613	-	INTS11
chr1	1326911	1327760	+	CPTP
chr1	1331346	1334461	+	TAS1R3
chr1	1336145	1349065	-	DVL1
chr1	1353304	1361263	-	MXRA8
chr1	1373804	1374756	-	AURKAIP1
chr1	1387234	1399306	-	CCNL2
chr1	1402086	1407217	-	MRPL20
chr1	1419103	1421005	-	ANKRD65
chr1	1426128	1427784	+	TMEM88B
chr1	1435749	1439784	+	VWA1
chr1	1450684	1468527	+	ATAD3C
chr1	1471885	1495814	+	ATAD3B
chr1	1512269	1534069	+	ATAD3A
chr1	1535362	1540346	-	TMEM240
chr1	1542069	1574557	-	SSU72
chr1	1599338	1600015	-	FNDC10
chr1	1615631	1630527	+	MIB2
chr1	1632219	1634622	+	MMP23B
chr1	1635767	1657485	-	CDK11B
chr1	1660106	1676699	-	SLC35E2B
chr1	1702910	1722818	-	CDK11A
chr1	1752907	1765406	-	NADK
chr1	1787334	1825453	-	GNB1
chr1	1915281	1917190	+	CALML6
chr1	1917885	1919265	-	TMEM52
chr1	1922290	1990956	-	CFAP74
chr1	2019424	2030279	+	GABRD
chr1	2050631	2185006	+	PRKCZ
chr1	2185281	2194749	-	FAAP20
chr1	2228767	2306762	+	SKI
chr1	2321386	2391533	-	MORN1
chr1	2395791	2403121	+	RER1
chr1	2405769	2412502	-	PEX10
chr1	2430515	2505210	+	PLCH2
chr1	2508850	2526587	-	PANK4
chr1	2529472	2530164	-	HES5
chr1	2556665	2563270	+	TNFRSF14
chr1	2586796	2589424	+	PRXL2B
chr1	2590993	2629484	-	MMEL1
chr1	2641371	2800827	-	TTC34
chr1	3021687	3022817	+	ACTRT2
chr1	3069260	3433808	+	PRDM16
chr1	3463085	3480584	+	ARHGEF16
chr1	3490531	3611268	-	MEGF6
chr1	3625073	3628600	+	TPRG1L
chr1	3630978	3649999	-	WRAP73
chr1	3682366	3733076	+	TP73
chr1	3752482	3771520	+	CCDC27
chr1	3775374	3775918	+	SMIM1
chr1	3781091	3796476	-	LRRC47
chr1	3815220	3852407	-	CEP104
chr1	3857604	3883738	+	DFFB
chr1	3889963	3900186	-	C1orf174
chr1	4655426	4774496	+	AJAP1
chr1	5863268	5986289	-	NPHP4
chr1	6040569	6098571	+	KCNAB2
